,Unnamed: 0,NLSitNummer,DatumFileBegin,DatumFileEind,TijdFileBegin,TijdFileEind,FileZwaarte,GemLengte,FileDuur,HectometerKop,HectometerStaart,RouteLet,RouteNum,RouteOms,hectometreringsrichting,KopWegvakVan,KopWegvakNaar,TrajVan,TrajNaar,OorzaakGronddetail,OorzaakVerloop,OorzaakCodeVerloop,OorzaakCode,Oorzaak_1,Oorzaak_2,Oorzaak_3,Oorzaak_4,coordinates,precipitationAmount
0,0,2787634,10/1/2020,10/1/2020,16:09:00,16:18:04,"27,200","3,000,000","9,067","44,6","47,6",A,20,A20,aflopend,Moordrecht,Nieuwerkerk Aan Den Ijssel,Gouda,Hoek van Holland,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 9],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit,"[[4.63810355, 51.99166777], [4.637953195, 51.99172153], [4.639126617, 51.99230978], [4.638973559, 51.99236147], [4.6401497130000005, 51.99295179], [4.63999524, 51.99300181], [4.641172824, 51.99359378], [4.641013132, 51.99363974], [4.642195978, 51.99423577], [4.642034013, 51.99428176], [4.643219162, 51.99487774], [4.643050291000001, 51.99492303], [4.644242376, 51.9955197], [4.644067564, 51.99556489], [4.645203095, 51.99612365], [4.645029483, 51.99616841], [4.646285581, 51.99680563], [4.646113082, 51.99684199], [4.647306735, 51.99744886], [4.647127529, 51.99748562], [4.6484274789999995, 51.99815475], [4.6481496589999995, 51.99812339], [4.649359382, 51.99876006], [4.6491372, 51.99878446], [4.650245721, 51.99941467], [4.650015841, 51.99943859], [4.650881264, 52.00016671], [4.651075207, 52.0001446], [4.651848693, 52.00091019], [4.651652573, 52.00092637], [4.652544401, 52.00170566], [4.6523766669999995, 52.00176679], [4.653083661, 52.00248183], [4.65295447, 52.00259305], [4.65356262, 52.00333618], [4.6534377000000005, 52.00350843], [4.6539732019999995, 52.00425127], [4.65379531, 52.00438719], [4.6543097, 52.00512353], [4.654130882, 52.00526509], [4.654447825, 52.00612787], [4.654619418999999, 52.005957], [4.654723893, 52.0068821], [4.654902612, 52.00669515], [4.655086027, 52.00789099], [4.655223051, 52.007571], [4.655420922, 52.00877336], [4.6555814369999995, 52.008558], [4.655710900000001, 52.00958584], [4.6558975039999995, 52.00943914], [4.655920926, 52.010487299999994], [4.656161783, 52.01032328], [4.655969816, 52.01137979999999], [4.656262556000001, 52.01121345], [4.65584273, 52.0122732], [4.656184678, 52.01211423], [4.655497905, 52.01316687], [4.655904284, 52.01299485], [4.654965371, 52.01400339], [4.655271937, 52.01404781], [4.654262426, 52.01479515], [4.654606722, 52.01484517]]",80.0
1,1,2787681,10/1/2020,10/1/2020,16:50:00,16:57:05,"14,167","2,000,000","7,083","73,6","71,6",A,4,A4,oplopend,Pernis,Benelux,Den Haag,Rotterdam,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 7],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit,"[[4.3688130030000005, 51.91198573], [4.369199076, 51.91204438], [4.369314613999999, 51.9111251], [4.369644558, 51.91118335], [4.369773166, 51.9102865], [4.370077566, 51.91032623], [4.3701393369999995, 51.90939858], [4.370453741, 51.9094526], [4.370390197, 51.90847478], [4.3707355439999995, 51.90856575], [4.370902719, 51.90766779], [4.370458375, 51.90760076], [4.370984136000001, 51.90676563], [4.370429952, 51.90675821], [4.370952494, 51.90586449], [4.370279271999999, 51.90580819], [4.370875645, 51.90493498], [4.37009954, 51.90484764], [4.370775761, 51.90405904], [4.369952393999999, 51.90402202], [4.370715802, 51.90318231], [4.3698935489999995, 51.90312503], [4.370760314, 51.90230482], [4.369940314, 51.90222765], [4.370918779, 51.90143235], [4.3700717419999995, 51.90133255], [4.37118731, 51.90057075], [4.370349457, 51.90045102], [4.371581795, 51.89972331], [4.370762462, 51.89958908], [4.371230248, 51.89873856], [4.372070374, 51.89889851], [4.371863968, 51.89793666], [4.372674912, 51.89809049], [4.3725598660000005, 51.89715087], [4.373387674, 51.89731732], [4.37338188, 51.89641424], [4.3741889380000005, 51.89657771], [4.374232, 51.895689000000004], [4.375020965, 51.89585092], [4.375124586, 51.89498328], [4.375897308, 51.89514477]]",76.0
2,2,2787669,10/1/2020,10/1/2020,16:36:00,16:40:05,"8,167","2,000,000","4,083","77,5","75,5",A,15,A15,oplopend,Alblasserdam,Papendrecht,Ridderkerk,Gorinchem,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 4],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit,"[[4.674940915, 51.85221296], [4.675155532, 51.85230823], [4.676025677, 51.85161581], [4.676241357, 51.85170987], [4.677122654, 51.85102729], [4.677346498, 51.85112455], [4.67823116, 51.85044772], [4.678468437, 51.85055187], [4.679369414, 51.84989066], [4.679606497, 51.84999141], [4.680791479, 51.849464399999995], [4.680547531, 51.84934609], [4.681894938, 51.84897363], [4.681728813, 51.84882924], [4.683080309, 51.84845818], [4.682915298999999, 51.8483101], [4.684266985, 51.84794389], [4.6841143689999996, 51.847802200000004], [4.685464754, 51.84743958], [4.6853166889999995, 51.84729724], [4.6866746, 51.84694651], [4.686523203, 51.84679616], [4.6878867369999995, 51.84645744], [4.687732724, 51.84629786], [4.688947795, 51.84580487], [4.689099007, 51.84596459], [4.69018084, 51.84532937], [4.690332336, 51.84548685], [4.691430419, 51.84487059], [4.69157202, 51.84502535], [4.692679988, 51.84441181], [4.692817882, 51.84457466], [4.69393954, 51.84396371], [4.694065661000001, 51.84412325], [4.695226213, 51.84354618], [4.695349323, 51.84369696], [4.696515968, 51.84313237], [4.696639995, 51.84328317], [4.697822991000001, 51.84273983], [4.697931222, 51.84289512], [4.699131541, 51.84234937], [4.699243845, 51.84251374]]",80.0
3,3,2787648,10/1/2020,10/1/2020,16:20:00,16:25:06,"10,200","2,000,000","5,100","34,8","36,8",A,27,A27,aflopend,Industrieterrein Avelingen,Merwedebrug,Gorinchem,Breda,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 5],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit,"[[4.9428664719999995, 51.82842467], [4.942778778, 51.82848956], [4.943199762, 51.82930394], [4.943095947, 51.82936607], [4.943513108, 51.8301871], [4.943413369, 51.83023882], [4.943867052, 51.83110628], [4.943788346, 51.83123481], [4.944212542, 51.83199108], [4.944115084, 51.8321071], [4.944639648, 51.83296807], [4.944455002, 51.83304049], [4.944972258, 51.83377562], [4.9448572219999996, 51.83389523], [4.945367299, 51.834652500000004], [4.94519627, 51.83468513], [4.9457718669999995, 51.83552114], [4.945581188999999, 51.83557302], [4.946173225, 51.83639168], [4.945981376000001, 51.8364295], [4.946572917, 51.83725759], [4.946385031, 51.83729338], [4.946974893999999, 51.83812437], [4.9467789810000005, 51.83813643], [4.947369909, 51.83897608], [4.947195345, 51.83902743], [4.947759211, 51.83981555], [4.94760034, 51.83983609], [4.948156847, 51.84066934], [4.947968359, 51.84064648], [4.94857118, 51.84155504], [4.94843287, 51.84168239], [4.94896729, 51.84240177], [4.94877427, 51.84243826], [4.949394601, 51.84329325], [4.949176581000001, 51.84330372], [4.949791965, 51.84414848], [4.949579662, 51.84416906], [4.950188094, 51.84500103], [4.949976813, 51.84503543], [4.950582858, 51.84585062], [4.950373573, 51.84590189]]",94.0
4,4,2787650,10/1/2020,10/1/2020,16:21:00,17:14:05,"149,167","2,810,047","53,083","88,5","86,5",A,15,A15,oplopend,Gorinchem,Gorinchem,Ridderkerk,Gorinchem,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 53],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit,"[[4.82432052, 51.82143751], [4.824336999, 51.82155471], [4.8257691110000005, 51.82149744], [4.825781237, 51.82161504], [4.827236887, 51.82155918], [4.82722548, 51.82167534], [4.828674713, 51.82162926], [4.828667534, 51.82175094], [4.830139437, 51.82172152], [4.830104932, 51.82185519], [4.831568575, 51.82186291], [4.831525433, 51.82202691], [4.832980825, 51.82208679], [4.832915118, 51.8222768], [4.834356358, 51.82237735], [4.834285116, 51.82256609], [4.835723702, 51.82268301], [4.835645063, 51.82287335], [4.837090358, 51.82298361], [4.837009532, 51.82317283], [4.838470664, 51.82327721], [4.838375309, 51.82347011], [4.839734829, 51.82355066], [4.839740571, 51.82376101], [4.841536232, 51.82390041], [4.841135256, 51.82404212], [4.842606566000001, 51.82406357], [4.842557781, 51.82423911], [4.844032505, 51.82417285], [4.8439964269999995, 51.82436448], [4.84546933, 51.824262700000006], [4.845438253, 51.82445272], [4.846909408999999, 51.82435393], [4.846882723999999, 51.82453864], [4.848347305, 51.82444503], [4.848326871, 51.82462298], [4.849771391, 51.82470325], [4.849781204, 51.82452747], [4.851230215, 51.82460691], [4.851224576, 51.82478592], [4.852665915, 51.82469251], [4.852664486, 51.82486806]]",89.0
5,5,2787698,10/1/2020,10/1/2020,17:27:00,18:23:41,"157,933","2,786,239","56,683","0,8","2,8",A,28,A28,aflopend,Utrecht-De Uithof,Rijnsweerd,Amersfoort,Utrecht,Defect(e) voertuig(en),"[Defect(e) voertuig(en) 41], [Eerder pechgeval 15]","[BKD], [M13]",BKD,Defect(e) voertuig(en),Defect voertuig,Incident (gestrand voertuig),Incident,"[[5.158564997, 52.09151376], [5.15999534, 52.09175047], [5.161431964, 52.09196289], [5.162843546, 52.092149299999996], [5.164219402, 52.09230978], [5.165653877, 52.09245701], [5.167101445, 52.09258447], [5.168566161, 52.09268654], [5.170016577, 52.09276254], [5.171449275, 52.09282521], [5.172925773, 52.09283809], [5.1729328610000005, 52.09266216], [5.174455339, 52.09285515], [5.174399347, 52.0927143], [5.175911845, 52.09287169], [5.17584422, 52.09272444], [5.177368437, 52.0928296], [5.177153081, 52.09269046], [5.178825225, 52.09277304], [5.178622577, 52.09264607], [5.180275443, 52.09269746], [5.180050803, 52.09259204], [5.181729106000001, 52.09262703], [5.181615032, 52.09253015], [5.183175844, 52.09256371], [5.183105961, 52.09247114], [5.184636083, 52.09252126], [5.184555963, 52.09241374], [5.186089406000001, 52.09248145], [5.18601144, 52.09236447], [5.187565195, 52.09234396], [5.187575218, 52.09246548]]",77.0
6,6,2787895,10/2/2020,10/2/2020,17:24:00,17:24:52,"2,600","3,000,000","0,867","48,9","45,9",A,27,A27,oplopend,Noordeloos,Lexmond,Gorinchem,Utrecht,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 1],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit,"[[4.991124359, 51.92355096], [4.991277272, 51.92348709], [4.991629811, 51.9243963], [4.991775775, 51.92432949], [4.992123015, 51.92523807], [4.992272592, 51.92517229], [4.992627284, 51.92607516], [4.992776317, 51.92601351], [4.993140367, 51.92693212], [4.99328146, 51.92685441], [4.993644729, 51.92777446], [4.993786622, 51.92769531], [4.994143515, 51.92860661], [4.994291788, 51.92853621], [4.994659269, 51.92945744], [4.994802816, 51.92937571], [4.995208958, 51.93030209], [4.9953471689999995, 51.93020722], [4.995768259, 51.93111564], [4.995905168, 51.931035200000004], [4.996400973, 51.93192652], [4.996533731, 51.93184362], [4.997086713, 51.93272508], [4.997214235, 51.93263588], [4.99780317, 51.93350226], [4.997916974, 51.93342058], [4.998568647, 51.93427348], [4.998671153, 51.9341869], [4.999331669, 51.93503574], [4.999436488, 51.93494903], [5.000086177, 51.93579844], [5.000201833999999, 51.93571115], [5.0008504039999995, 51.93657866], [5.000965951, 51.93647376], [5.00161057, 51.93733372], [5.001728432, 51.93723699], [5.002388165, 51.93810605], [5.002495271, 51.93799855], [5.003155967, 51.93886862], [5.003262151, 51.93876011], [5.003923795, 51.9396312], [5.004029028, 51.93952168], [5.004693884, 51.94039598], [5.004792867, 51.94028441], [5.005461765, 51.94115854], [5.005556732, 51.94104714], [5.006225878, 51.94191733], [5.006319864, 51.94181016], [5.006991974, 51.94267855], [5.007082657, 51.94257331], [5.007759163999999, 51.94344435], [5.0078486710000005, 51.94333523], [5.008531393999999, 51.94421048], [5.008614828, 51.94409711], [5.009305886, 51.94497883], [5.00939105, 51.94485508], [5.010068377, 51.94573832], [5.0101568510000005, 51.94561707], [5.0108335539999995, 51.94650505], [5.010916462, 51.94638146], [5.011600243, 51.94727326], [5.011676083999999, 51.94714585]]",2.0
7,7,2787785,10/2/2020,10/2/2020,8:49:00,9:08:39,"39,300","2,000,000","19,650","71,8","66,2",A,15,A15,oplopend,Ridderkerk-Zuid,Hendrik-Ido-Ambacht,Ridderkerk,Gorinchem,Schade aan tunnel,"[Geen oorzaakcode opgegeven door VWM 0], [Schade aan tunnel 19], [Geen oorzaakcode opgegeven door VWM 0]","[000], [M10], [000]",M10,Schade aan tunnel,Schade aan infrastructuur,Falen Infra,Ongepland onderhoud,"[[4.594081613999999, 51.860605299999996], [4.595475428, 51.85650527], [4.595045667, 51.85993331], [4.594738035, 51.85979704], [4.596793151, 51.85618159], [4.596066831, 51.85931828], [4.595731048, 51.85912194], [4.5982356069999994, 51.85606237], [4.59704836, 51.85870433], [4.596736869, 51.85845234], [4.599655725, 51.85609116], [4.598087961, 51.85810179], [4.597836443, 51.85784279], [4.599211476, 51.85753198], [4.598809536, 51.85744625], [4.599798671, 51.85610074], [4.601251926000001, 51.85692812], [4.601211964, 51.85683245], [4.601189563, 51.85619393], [4.6026606260000005, 51.85673579], [4.602734023, 51.85628565], [4.604089738, 51.8567145], [4.604221132, 51.85635676], [4.605415932, 51.85669473], [4.605529895, 51.85640392], [4.606900926000001, 51.85667442], [4.606971709, 51.85641291], [4.6083878039999995, 51.85665337], [4.608412106, 51.85642247], [4.609880147, 51.85662086], [4.609814591, 51.85643176], [4.611365991, 51.85660571], [4.611251198, 51.85643721], [4.612783554, 51.85660125], [4.612695748999999, 51.85642555], [4.614208942, 51.85659676], [4.614129033, 51.856414], [4.615634315, 51.85659225], [4.615554556, 51.85640294], [4.617059702, 51.85658771], [4.61699162, 51.85639178], [4.618485089, 51.85658316], [4.618447376000001, 51.85638426], [4.619910476, 51.85657859], [4.619971512, 51.85637693], [4.621419631, 51.8563737], [4.621367088, 51.85657395], [4.622860045, 51.85638649], [4.622826267, 51.85657196], [4.624311942, 51.85638728], [4.62427062, 51.85656428]]",6.0
8,8,2787892,10/2/2020,10/2/2020,17:22:00,19:01:01,"198,033","2,000,000","99,017","18,5","16,5",A,5,A5,oplopend,Amsterdam-Westpoort,Westrandweg,Hoofddorp,Amsterdam,Incident op aansluitende weg,"[Geen oorzaakcode opgegeven door VWM 1], [Incident op aansluitende weg 98], [Geen oorzaakcode opgegeven door VWM 0]","[000], [N69], [000]",N69,Incident op aansluitende weg,Incident elders,Incident,Incident,"[[4.824048803, 52.39193378], [4.824047102, 52.39184096], [4.825519655, 52.39193607], [4.8255280460000005, 52.39184194], [4.826980507, 52.39193808], [4.826985504, 52.39184492], [4.828464793, 52.39193869], [4.828456424, 52.39184626], [4.829939031, 52.39193929], [4.8299306280000005, 52.3918458], [4.83140987, 52.39194261], [4.831411595, 52.39184607], [4.832870691, 52.39194589], [4.832879146000001, 52.39184544], [4.834301397, 52.39200561], [4.834329465, 52.39190832], [4.835725774, 52.39222125], [4.835758584, 52.39212284], [4.83702809, 52.39257002], [4.837095764, 52.39249136], [4.838212761, 52.39305429], [4.838328968, 52.39299858], [4.839275084, 52.39365346], [4.839403244, 52.39359465], [4.84030378, 52.39428682], [4.84039587, 52.39422351], [4.841476397, 52.39488213], [4.8415660680000006, 52.39481351], [4.842615947, 52.39539583], [4.842757809, 52.39530647], [4.843642827, 52.39597723], [4.843882088, 52.39588024], [4.8447369369999995, 52.39689475], [4.84506161, 52.39673038], [4.845427514, 52.397688099999996], [4.845797246, 52.39752070000001], [4.846139398, 52.39846767], [4.846520541, 52.39829017], [4.846966151, 52.3992182], [4.847319912, 52.39904046], [4.847832627, 52.39995603], [4.848107333, 52.3997184]]",1.0
9,9,2787677,10/1/2020,10/1/2020,16:41:00,16:52:15,"33,750","3,000,000","11,250","60,3","57,3",A,2,A2,oplopend,Utrecht-Papendorp,Oudenrijn,Amsterdam,'s-Hertogenbosch,Eerder(e) ongeval(len),"[Geen oorzaakcode opgegeven door VWM 0], [Eerder(e) ongeval(len) 11]","[000], [ACA]",ACA,Eerder(e) ongeval(len),Ongeval,Ongeval,Ongeval,"[[5.041054394, 52.114643799999996], [5.0412452739999996, 52.11478435], [5.042263421, 52.11415514], [5.04245732, 52.11429634], [5.043472698, 52.11366672], [5.043669137, 52.11380812], [5.044679253, 52.11317936], [5.044880971, 52.11331993], [5.0458973, 52.1126902], [5.046093126000001, 52.11283206], [5.047099662, 52.11220793], [5.047305168, 52.11234408], [5.0483140760000005, 52.11171723], [5.048517038, 52.11185596], [5.049505452, 52.11122318], [5.049711572, 52.11135192], [5.05068433, 52.11070459], [5.05088399, 52.1108287], [5.0518323789999995, 52.11018218], [5.052045878, 52.11029654], [5.052961283, 52.1096259], [5.053190093, 52.10975036], [5.05407844, 52.10905148], [5.054300634, 52.10917832], [5.055145908, 52.10847109], [5.05538472, 52.10858736], [5.0561973280000005, 52.10787013], [5.056448444, 52.10798249], [5.057228309, 52.10724588], [5.0574837530000005, 52.10735914], [5.0582370910000005, 52.10661132], [5.058487847, 52.10671697], [5.05921687, 52.10595904], [5.0594662, 52.1060598], [5.060168286000001, 52.10529105], [5.060398025, 52.1053779], [5.0610836830000006, 52.10460257], [5.061335303, 52.104699], [5.061972946, 52.10390919], [5.062236025, 52.10400118], [5.06283581, 52.10319515], [5.063099163, 52.1032854], [5.06366253, 52.10246818], [5.0639252169999995, 52.10255316], [5.064459169, 52.10173332], [5.06473224, 52.10181301], [5.065228529, 52.10097884], [5.0655014860000005, 52.10105772], [5.065964792, 52.10021215], [5.066237752, 52.1002901], [5.066670524, 52.09944167], [5.066944135, 52.09951184], [5.0673318730000005, 52.09865187], [5.067623936, 52.0987248], [5.06797328, 52.09785957], [5.068254424, 52.0979222], [5.06858394, 52.09705577], [5.068880214, 52.09711819], [5.069204065, 52.09624973], [5.06949388, 52.09631065], [5.069820868, 52.09544797], [5.0701111789999995, 52.09550417]]",75.0
