NLSitNummer,DatumFileBegin,DatumFileEind,TijdFileBegin,TijdFileEind,FileZwaarte,GemLengte,FileDuur,HectometerKop,HectometerStaart,RouteLet,RouteNum,RouteOms,hectometreringsrichting,KopWegvakVan,KopWegvakNaar,TrajVan,TrajNaar,OorzaakGronddetail,OorzaakVerloop,OorzaakCodeVerloop,OorzaakCode,Oorzaak_1,Oorzaak_2,Oorzaak_3,Oorzaak_4
2787634,10/1/2020,10/1/2020,16:09:00,16:18:04,"27,200","3,000,000","9,067","44,6","47,6",A,20,A20,aflopend,Moordrecht,Nieuwerkerk Aan Den Ijssel,Gouda,Hoek van Holland,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 9],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2787681,10/1/2020,10/1/2020,16:50:00,16:57:05,"14,167","2,000,000","7,083","73,6","71,6",A,4,A4,oplopend,Pernis,Benelux,Den Haag,Rotterdam,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 7],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2787669,10/1/2020,10/1/2020,16:36:00,16:40:05,"8,167","2,000,000","4,083","77,5","75,5",A,15,A15,oplopend,Alblasserdam,Papendrecht,Ridderkerk,Gorinchem,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 4],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2787648,10/1/2020,10/1/2020,16:20:00,16:25:06,"10,200","2,000,000","5,100","34,8","36,8",A,27,A27,aflopend,Industrieterrein Avelingen,Merwedebrug,Gorinchem,Breda,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 5],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2787650,10/1/2020,10/1/2020,16:21:00,17:14:05,"149,167","2,810,047","53,083","88,5","86,5",A,15,A15,oplopend,Gorinchem,Gorinchem,Ridderkerk,Gorinchem,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 53],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2787698,10/1/2020,10/1/2020,17:27:00,18:23:41,"157,933","2,786,239","56,683","0,8","2,8",A,28,A28,aflopend,Utrecht-De Uithof,Rijnsweerd,Amersfoort,Utrecht,Defect(e) voertuig(en),"[Defect(e) voertuig(en) 41], [Eerder pechgeval 15]","[BKD], [M13]",BKD,Defect(e) voertuig(en),Defect voertuig,Incident (gestrand voertuig),Incident
2787895,10/2/2020,10/2/2020,17:24:00,17:24:52,"2,600","3,000,000","0,867","48,9","45,9",A,27,A27,oplopend,Noordeloos,Lexmond,Gorinchem,Utrecht,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 1],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2787785,10/2/2020,10/2/2020,8:49:00,9:08:39,"39,300","2,000,000","19,650","71,8","66,2",A,15,A15,oplopend,Ridderkerk-Zuid,Hendrik-Ido-Ambacht,Ridderkerk,Gorinchem,Schade aan tunnel,"[Geen oorzaakcode opgegeven door VWM 0], [Schade aan tunnel 19], [Geen oorzaakcode opgegeven door VWM 0]","[000], [M10], [000]",M10,Schade aan tunnel,Schade aan infrastructuur,Falen Infra,Ongepland onderhoud
2787892,10/2/2020,10/2/2020,17:22:00,19:01:01,"198,033","2,000,000","99,017","18,5","16,5",A,5,A5,oplopend,Amsterdam-Westpoort,Westrandweg,Hoofddorp,Amsterdam,Incident op aansluitende weg,"[Geen oorzaakcode opgegeven door VWM 1], [Incident op aansluitende weg 98], [Geen oorzaakcode opgegeven door VWM 0]","[000], [N69], [000]",N69,Incident op aansluitende weg,Incident elders,Incident,Incident
2787677,10/1/2020,10/1/2020,16:41:00,16:52:15,"33,750","3,000,000","11,250","60,3","57,3",A,2,A2,oplopend,Utrecht-Papendorp,Oudenrijn,Amsterdam,'s-Hertogenbosch,Eerder(e) ongeval(len),"[Geen oorzaakcode opgegeven door VWM 0], [Eerder(e) ongeval(len) 11]","[000], [ACA]",ACA,Eerder(e) ongeval(len),Ongeval,Ongeval,Ongeval
